1;Jan 13, 2022 15:32:49.107780964 CET;192.168.1.102;192.168.1.104;49850;1883;74;49850 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796474003 TSecr=0 WS=512;
2;Jan 13, 2022 15:32:49.321750966 CET;192.168.1.104;192.168.1.102;1883;49850;58;1883 → 49850 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
3;Jan 13, 2022 15:32:49.321782838 CET;192.168.1.102;192.168.1.104;49850;1883;54;49850 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
4;Jan 13, 2022 15:32:49.321883186 CET;192.168.1.102;192.168.1.104;49850;1883;108;Connect Command;
5;Jan 13, 2022 15:32:49.996566937 CET;192.168.1.102;192.168.1.104;49850;1883;108;[TCP Retransmission] 49850 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
6;Jan 13, 2022 15:32:50.104702226 CET;192.168.1.104;192.168.1.102;1883;49850;54;1883 → 49850 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
7;Jan 13, 2022 15:32:50.108864840 CET;192.168.1.104;192.168.1.102;1883;49850;58;Connect Ack;
8;Jan 13, 2022 15:32:50.108892700 CET;192.168.1.102;192.168.1.104;49850;1883;54;49850 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
9;Jan 13, 2022 15:32:50.108939605 CET;192.168.1.102;192.168.1.104;49850;1883;73;Publish Message [topic];message001
10;Jan 13, 2022 15:32:50.108952828 CET;192.168.1.102;192.168.1.104;49850;1883;56;Disconnect Req;
11;Jan 13, 2022 15:32:51.404617437 CET;192.168.1.102;192.168.1.104;49850;1883;75;[TCP Retransmission] 49850 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
12;Jan 13, 2022 15:32:51.523826241 CET;192.168.1.104;192.168.1.102;1883;49850;54;1883 → 49850 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
13;Jan 13, 2022 15:32:51.523850849 CET;192.168.1.102;192.168.1.104;49850;1883;54;49850 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
14;Jan 13, 2022 15:32:55.114718552 CET;192.168.1.102;192.168.1.104;49852;1883;74;49852 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796480010 TSecr=0 WS=512;
15;Jan 13, 2022 15:32:55.239490016 CET;192.168.1.104;192.168.1.102;1883;49852;58;1883 → 49852 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
16;Jan 13, 2022 15:32:55.239524619 CET;192.168.1.102;192.168.1.104;49852;1883;54;49852 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
17;Jan 13, 2022 15:32:55.239577493 CET;192.168.1.102;192.168.1.104;49852;1883;108;Connect Command;
18;Jan 13, 2022 15:32:55.629255112 CET;192.168.1.102;192.168.1.104;49852;1883;108;[TCP Retransmission] 49852 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
19;Jan 13, 2022 15:32:55.747272152 CET;192.168.1.104;192.168.1.102;1883;49852;54;1883 → 49852 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
20;Jan 13, 2022 15:32:55.752859323 CET;192.168.1.104;192.168.1.102;1883;49852;58;Connect Ack;
21;Jan 13, 2022 15:32:55.752877982 CET;192.168.1.102;192.168.1.104;49852;1883;54;49852 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
22;Jan 13, 2022 15:32:55.752938810 CET;192.168.1.102;192.168.1.104;49852;1883;73;Publish Message [topic];message002
23;Jan 13, 2022 15:32:55.752953863 CET;192.168.1.102;192.168.1.104;49852;1883;56;Disconnect Req;
24;Jan 13, 2022 15:32:56.524583923 CET;192.168.1.102;192.168.1.104;49852;1883;75;[TCP Retransmission] 49852 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
25;Jan 13, 2022 15:32:56.643799539 CET;192.168.1.104;192.168.1.102;1883;49852;54;1883 → 49852 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
26;Jan 13, 2022 15:32:56.643823345 CET;192.168.1.102;192.168.1.104;49852;1883;54;49852 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
27;Jan 13, 2022 15:33:00.767032665 CET;192.168.1.102;192.168.1.104;49854;1883;74;49854 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796485663 TSecr=0 WS=512;
28;Jan 13, 2022 15:33:00.879825849 CET;192.168.1.104;192.168.1.102;1883;49854;58;1883 → 49854 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
29;Jan 13, 2022 15:33:00.879857641 CET;192.168.1.102;192.168.1.104;49854;1883;54;49854 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
30;Jan 13, 2022 15:33:00.879901839 CET;192.168.1.102;192.168.1.104;49854;1883;108;Connect Command;
31;Jan 13, 2022 15:33:01.228515264 CET;192.168.1.102;192.168.1.104;49854;1883;108;[TCP Retransmission] 49854 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
32;Jan 13, 2022 15:33:01.350668703 CET;192.168.1.104;192.168.1.102;1883;49854;54;1883 → 49854 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
33;Jan 13, 2022 15:33:01.357209104 CET;192.168.1.104;192.168.1.102;1883;49854;58;Connect Ack;
34;Jan 13, 2022 15:33:01.357229230 CET;192.168.1.102;192.168.1.104;49854;1883;54;49854 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
35;Jan 13, 2022 15:33:01.357295291 CET;192.168.1.102;192.168.1.104;49854;1883;73;Publish Message [topic];message003
36;Jan 13, 2022 15:33:01.357312930 CET;192.168.1.102;192.168.1.104;49854;1883;56;Disconnect Req;
37;Jan 13, 2022 15:33:02.060524611 CET;192.168.1.102;192.168.1.104;49854;1883;75;[TCP Retransmission] 49854 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
38;Jan 13, 2022 15:33:02.163840487 CET;192.168.1.104;192.168.1.102;1883;49854;54;1883 → 49854 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
39;Jan 13, 2022 15:33:02.163865143 CET;192.168.1.102;192.168.1.104;49854;1883;54;49854 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
40;Jan 13, 2022 15:33:06.370490246 CET;192.168.1.102;192.168.1.104;49856;1883;74;49856 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796491266 TSecr=0 WS=512;
41;Jan 13, 2022 15:33:06.474511626 CET;192.168.1.104;192.168.1.102;1883;49856;58;1883 → 49856 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
42;Jan 13, 2022 15:33:06.474543218 CET;192.168.1.102;192.168.1.104;49856;1883;54;49856 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
43;Jan 13, 2022 15:33:06.474594504 CET;192.168.1.102;192.168.1.104;49856;1883;108;Connect Command;
44;Jan 13, 2022 15:33:06.796575577 CET;192.168.1.102;192.168.1.104;49856;1883;108;[TCP Retransmission] 49856 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
45;Jan 13, 2022 15:33:06.913050157 CET;192.168.1.104;192.168.1.102;1883;49856;54;1883 → 49856 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
46;Jan 13, 2022 15:33:06.918370593 CET;192.168.1.104;192.168.1.102;1883;49856;58;Connect Ack;
47;Jan 13, 2022 15:33:06.918390061 CET;192.168.1.102;192.168.1.104;49856;1883;54;49856 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
48;Jan 13, 2022 15:33:06.918455292 CET;192.168.1.102;192.168.1.104;49856;1883;73;Publish Message [topic];message004
49;Jan 13, 2022 15:33:06.918472310 CET;192.168.1.102;192.168.1.104;49856;1883;56;Disconnect Req;
50;Jan 13, 2022 15:33:07.564749504 CET;192.168.1.102;192.168.1.104;49856;1883;75;[TCP Retransmission] 49856 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
51;Jan 13, 2022 15:33:07.674625241 CET;192.168.1.104;192.168.1.102;1883;49856;54;1883 → 49856 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
52;Jan 13, 2022 15:33:07.674648697 CET;192.168.1.102;192.168.1.104;49856;1883;54;49856 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
53;Jan 13, 2022 15:33:11.935185435 CET;192.168.1.102;192.168.1.104;49858;1883;74;49858 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796496831 TSecr=0 WS=512;
54;Jan 13, 2022 15:33:12.038633274 CET;192.168.1.104;192.168.1.102;1883;49858;58;1883 → 49858 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
55;Jan 13, 2022 15:33:12.038663184 CET;192.168.1.102;192.168.1.104;49858;1883;54;49858 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
56;Jan 13, 2022 15:33:12.038709844 CET;192.168.1.102;192.168.1.104;49858;1883;108;Connect Command;
57;Jan 13, 2022 15:33:12.364520160 CET;192.168.1.102;192.168.1.104;49858;1883;108;[TCP Retransmission] 49858 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
58;Jan 13, 2022 15:33:12.471979723 CET;192.168.1.104;192.168.1.102;1883;49858;54;1883 → 49858 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
59;Jan 13, 2022 15:33:12.475009972 CET;192.168.1.104;192.168.1.102;1883;49858;58;Connect Ack;
60;Jan 13, 2022 15:33:12.475018059 CET;192.168.1.102;192.168.1.104;49858;1883;54;49858 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
61;Jan 13, 2022 15:33:12.475053908 CET;192.168.1.102;192.168.1.104;49858;1883;73;Publish Message [topic];message005
62;Jan 13, 2022 15:33:12.475065981 CET;192.168.1.102;192.168.1.104;49858;1883;56;Disconnect Req;
63;Jan 13, 2022 15:33:13.100798964 CET;192.168.1.102;192.168.1.104;49858;1883;75;[TCP Retransmission] 49858 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
64;Jan 13, 2022 15:33:13.217243606 CET;192.168.1.104;192.168.1.102;1883;49858;54;1883 → 49858 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
65;Jan 13, 2022 15:33:13.217267874 CET;192.168.1.102;192.168.1.104;49858;1883;54;49858 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
66;Jan 13, 2022 15:33:17.486787302 CET;192.168.1.102;192.168.1.104;49860;1883;74;49860 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796502382 TSecr=0 WS=512;
67;Jan 13, 2022 15:33:17.603999025 CET;192.168.1.104;192.168.1.102;1883;49860;58;1883 → 49860 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
68;Jan 13, 2022 15:33:17.604035263 CET;192.168.1.102;192.168.1.104;49860;1883;54;49860 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
69;Jan 13, 2022 15:33:17.604085908 CET;192.168.1.102;192.168.1.104;49860;1883;108;Connect Command;
70;Jan 13, 2022 15:33:17.964723733 CET;192.168.1.102;192.168.1.104;49860;1883;108;[TCP Retransmission] 49860 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
71;Jan 13, 2022 15:33:18.068417707 CET;192.168.1.104;192.168.1.102;1883;49860;54;1883 → 49860 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
72;Jan 13, 2022 15:33:18.073874125 CET;192.168.1.104;192.168.1.102;1883;49860;58;Connect Ack;
73;Jan 13, 2022 15:33:18.073892121 CET;192.168.1.102;192.168.1.104;49860;1883;54;49860 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
74;Jan 13, 2022 15:33:18.073950866 CET;192.168.1.102;192.168.1.104;49860;1883;73;Publish Message [topic];message006
75;Jan 13, 2022 15:33:18.073966788 CET;192.168.1.102;192.168.1.104;49860;1883;56;Disconnect Req;
76;Jan 13, 2022 15:33:18.796572516 CET;192.168.1.102;192.168.1.104;49860;1883;75;[TCP Retransmission] 49860 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
77;Jan 13, 2022 15:33:18.901064449 CET;192.168.1.104;192.168.1.102;1883;49860;54;1883 → 49860 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
78;Jan 13, 2022 15:33:18.901088993 CET;192.168.1.102;192.168.1.104;49860;1883;54;49860 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
79;Jan 13, 2022 15:33:23.077774040 CET;192.168.1.102;192.168.1.104;49862;1883;74;49862 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796507973 TSecr=0 WS=512;
80;Jan 13, 2022 15:33:23.195211660 CET;192.168.1.104;192.168.1.102;1883;49862;58;1883 → 49862 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
81;Jan 13, 2022 15:33:23.195248023 CET;192.168.1.102;192.168.1.104;49862;1883;54;49862 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
82;Jan 13, 2022 15:33:23.195301493 CET;192.168.1.102;192.168.1.104;49862;1883;108;Connect Command;
83;Jan 13, 2022 15:33:23.564548281 CET;192.168.1.102;192.168.1.104;49862;1883;108;[TCP Retransmission] 49862 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
84;Jan 13, 2022 15:33:23.687792365 CET;192.168.1.104;192.168.1.102;1883;49862;54;1883 → 49862 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
85;Jan 13, 2022 15:33:23.694106642 CET;192.168.1.104;192.168.1.102;1883;49862;58;Connect Ack;
86;Jan 13, 2022 15:33:23.694124815 CET;192.168.1.102;192.168.1.104;49862;1883;54;49862 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
87;Jan 13, 2022 15:33:23.694183048 CET;192.168.1.102;192.168.1.104;49862;1883;73;Publish Message [topic];message007
88;Jan 13, 2022 15:33:23.694198436 CET;192.168.1.102;192.168.1.104;49862;1883;56;Disconnect Req;
89;Jan 13, 2022 15:33:24.428552988 CET;192.168.1.102;192.168.1.104;49862;1883;75;[TCP Retransmission] 49862 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
90;Jan 13, 2022 15:33:24.546154346 CET;192.168.1.104;192.168.1.102;1883;49862;54;1883 → 49862 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
91;Jan 13, 2022 15:33:24.546177777 CET;192.168.1.102;192.168.1.104;49862;1883;54;49862 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
92;Jan 13, 2022 15:33:28.707526015 CET;192.168.1.102;192.168.1.104;49864;1883;74;49864 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796513603 TSecr=0 WS=512;
93;Jan 13, 2022 15:33:28.811345833 CET;192.168.1.104;192.168.1.102;1883;49864;58;1883 → 49864 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
94;Jan 13, 2022 15:33:28.811377245 CET;192.168.1.102;192.168.1.104;49864;1883;54;49864 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
95;Jan 13, 2022 15:33:28.811420221 CET;192.168.1.102;192.168.1.104;49864;1883;108;Connect Command;
96;Jan 13, 2022 15:33:29.132514699 CET;192.168.1.102;192.168.1.104;49864;1883;108;[TCP Retransmission] 49864 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
97;Jan 13, 2022 15:33:29.238465260 CET;192.168.1.104;192.168.1.102;1883;49864;54;1883 → 49864 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
98;Jan 13, 2022 15:33:29.244180660 CET;192.168.1.104;192.168.1.102;1883;49864;58;Connect Ack;
99;Jan 13, 2022 15:33:29.244202568 CET;192.168.1.102;192.168.1.104;49864;1883;54;49864 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
100;Jan 13, 2022 15:33:29.244275510 CET;192.168.1.102;192.168.1.104;49864;1883;73;Publish Message [topic];message008
101;Jan 13, 2022 15:33:29.244296037 CET;192.168.1.102;192.168.1.104;49864;1883;56;Disconnect Req;
102;Jan 13, 2022 15:33:29.868726958 CET;192.168.1.102;192.168.1.104;49864;1883;75;[TCP Retransmission] 49864 → 1883 [FIN, PSH, ACK] Seq=55 Ack=5 Win=42336 Len=21;
103;Jan 13, 2022 15:33:29.987352680 CET;192.168.1.104;192.168.1.102;1883;49864;54;1883 → 49864 [FIN, ACK] Seq=5 Ack=77 Win=8192 Len=0;
104;Jan 13, 2022 15:33:29.987375784 CET;192.168.1.102;192.168.1.104;49864;1883;54;49864 → 1883 [ACK] Seq=77 Ack=6 Win=42335 Len=0;
105;Jan 13, 2022 15:33:34.259059264 CET;192.168.1.102;192.168.1.104;49866;1883;74;49866 → 1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=1796519155 TSecr=0 WS=512;
106;Jan 13, 2022 15:33:34.381130502 CET;192.168.1.104;192.168.1.102;1883;49866;58;1883 → 49866 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460;
107;Jan 13, 2022 15:33:34.381158413 CET;192.168.1.102;192.168.1.104;49866;1883;54;49866 → 1883 [ACK] Seq=1 Ack=1 Win=42340 Len=0;
108;Jan 13, 2022 15:33:34.381200302 CET;192.168.1.102;192.168.1.104;49866;1883;108;Connect Command;
109;Jan 13, 2022 15:33:34.764581408 CET;192.168.1.102;192.168.1.104;49866;1883;108;[TCP Retransmission] 49866 → 1883 [PSH, ACK] Seq=1 Ack=1 Win=42340 Len=54;
110;Jan 13, 2022 15:33:34.869945146 CET;192.168.1.104;192.168.1.102;1883;49866;54;1883 → 49866 [ACK] Seq=1 Ack=55 Win=8192 Len=0;
111;Jan 13, 2022 15:33:34.874049046 CET;192.168.1.104;192.168.1.102;1883;49866;58;Connect Ack;
112;Jan 13, 2022 15:33:34.874069709 CET;192.168.1.102;192.168.1.104;49866;1883;54;49866 → 1883 [ACK] Seq=55 Ack=5 Win=42336 Len=0;
113;Jan 13, 2022 15:33:34.874138764 CET;192.168.1.102;192.168.1.104;49866;1883;73;Publish Message [topic];message009
